Order Number,Sales Date,Sales Channel,Currency,Salesteamindex,Storeindex,Productindex,Order qty,unit price,unit cost,profit
SO4433,"Sunday, January 19, 2020",Distributor,USD,4,76,33,1,233.97,167.12,66.85
SO4434,"Saturday, April 11, 2020",Wholesale,USD,25,140,36,9,239.57,171.12,68.45
SO4435,"Thursday, February 6, 2020",Online,USD,10,88,27,10,550.29,393.07,157.23
SO4436,"Saturday, February 22, 2020",Online,USD,6,353,31,3,357.72,255.52,102.21
SO4437,"Wednesday, February 12, 2020",In-Store,USD,5,219,23,8,564.05,402.90,161.16
SO4438,"Friday, April 10, 2020",Wholesale,USD,17,85,33,4,526.88,376.34,150.54
SO4439,"Thursday, January 23, 2020",Online,USD,8,323,5,1,489.89,349.92,139.97
SO4440,"Monday, February 3, 2020",Online,USD,14,260,14,9,263.60,188.29,75.31
SO4441,"Monday, January 13, 2020",Online,USD,1,220,10,3,294.65,210.46,84.19
SO4442,"Sunday, February 2, 2020",In-Store,USD,21,274,39,9,610.62,436.16,174.46
SO4443,"Monday, May 11, 2020",Online,USD,22,7,3,6,533.32,380.94,152.38
SO4444,"Sunday, February 2, 2020",In-Store,USD,1,182,31,6,376.60,269.00,107.60
SO4445,"Wednesday, May 20, 2020",Wholesale,USD,7,320,32,6,353.05,252.18,100.87
SO4446,"Wednesday, March 11, 2020",Wholesale,USD,5,99,4,9,370.47,264.62,105.85
SO4447,"Saturday, January 4, 2020",In-Store,USD,23,250,32,10,571.87,408.48,163.39
SO4448,"Thursday, February 6, 2020",In-Store,USD,1,23,42,1,427.90,305.65,122.26
SO4449,"Monday, April 6, 2020",Wholesale,USD,12,281,46,5,324.52,231.80,92.72
SO4450,"Tuesday, February 4, 2020",In-Store,USD,7,22,22,2,205.20,146.57,58.63
SO4451,"Monday, February 10, 2020",Wholesale,USD,21,58,3,2,442.53,316.09,126.44
SO4452,"Thursday, January 23, 2020",In-Store,USD,24,127,23,4,311.61,222.58,89.03
SO4453,"Sunday, February 2, 2020",Wholesale,USD,26,11,11,5,307.55,219.68,87.87
SO4454,"Saturday, May 9, 2020",Distributor,USD,8,64,40,6,476.89,340.63,136.25
SO4455,"Wednesday, April 1, 2020",Wholesale,USD,2,123,26,9,593.37,423.84,169.53
SO4456,"Sunday, April 26, 2020",Distributor,USD,5,183,11,10,593.59,423.99,169.60
SO4457,"Tuesday, April 21, 2020",Distributor,USD,25,283,27,8,389.38,278.13,111.25
SO4458,"Saturday, February 29, 2020",In-Store,USD,7,226,12,10,579.38,413.85,165.54
SO4459,"Saturday, May 23, 2020",Online,USD,19,101,13,4,369.18,263.70,105.48
SO4460,"Friday, January 24, 2020",Distributor,USD,18,56,27,10,640.51,457.51,183.00
SO4461,"Tuesday, March 31, 2020",Online,USD,10,237,14,3,246.76,176.26,70.50
SO4462,"Wednesday, May 27, 2020",In-Store,USD,12,263,4,9,636.98,454.99,182.00
SO4463,"Monday, May 25, 2020",Distributor,USD,3,12,46,1,430.37,307.41,122.96
SO4464,"Saturday, January 18, 2020",Online,USD,4,345,2,10,381.24,272.31,108.92
SO4465,"Sunday, May 24, 2020",Wholesale,USD,18,120,16,1,374.98,267.85,107.14
SO4466,"Sunday, March 8, 2020",Distributor,USD,24,288,42,10,322.40,230.29,92.12
SO4467,"Thursday, January 23, 2020",Distributor,USD,26,277,6,8,287.10,205.07,82.03
SO4468,"Monday, May 25, 2020",Online,USD,24,95,4,5,189.33,135.24,54.10
SO4469,"Wednesday, March 4, 2020",Distributor,USD,9,70,44,5,436.12,311.51,124.60
SO4470,"Wednesday, February 12, 2020",In-Store,USD,12,364,10,4,304.98,217.85,87.14
SO4471,"Sunday, January 26, 2020",Online,USD,1,360,11,9,467.67,334.05,133.62
SO4472,"Sunday, March 22, 2020",Online,USD,25,102,2,8,389.95,278.53,111.41
SO4473,"Saturday, January 4, 2020",Online,USD,23,104,30,4,237.55,169.68,67.87
SO4474,"Friday, April 17, 2020",Online,USD,21,189,31,10,317.13,226.52,90.61
SO4475,"Tuesday, March 3, 2020",Online,USD,4,91,17,2,303.18,216.56,86.62
SO4476,"Saturday, March 14, 2020",Wholesale,USD,7,78,19,9,390.86,279.19,111.67
SO4477,"Wednesday, March 4, 2020",Online,USD,4,191,24,10,334.74,239.10,95.64
SO4478,"Wednesday, January 15, 2020",In-Store,USD,24,341,20,7,352.01,251.44,100.58
SO4479,"Tuesday, May 5, 2020",Distributor,USD,14,330,4,3,346.39,247.42,98.97
SO4480,"Thursday, April 23, 2020",In-Store,USD,4,309,17,3,443.83,317.02,126.81
SO4481,"Monday, February 17, 2020",In-Store,USD,14,49,26,2,254.24,181.60,72.64
SO4482,"Tuesday, March 31, 2020",Wholesale,USD,18,307,41,6,483.55,345.40,138.16
SO4483,"Saturday, January 4, 2020",Wholesale,USD,16,63,21,1,406.90,290.65,116.26
SO4484,"Sunday, February 23, 2020",Distributor,USD,6,97,26,1,525.15,375.11,150.04
SO4485,"Saturday, February 1, 2020",In-Store,USD,26,141,18,9,348.96,249.25,99.70
SO4486,"Monday, January 6, 2020",Online,USD,21,286,16,8,310.59,221.85,88.74
SO4487,"Tuesday, March 24, 2020",In-Store,USD,9,193,16,9,216.50,154.64,61.86
SO4488,"Tuesday, March 3, 2020",In-Store,USD,6,339,5,3,343.51,245.36,98.15
SO4489,"Tuesday, February 18, 2020",In-Store,USD,18,186,12,3,271.67,194.05,77.62
SO4490,"Sunday, January 12, 2020",Online,USD,22,131,21,9,530.34,378.81,151.52
SO4491,"Sunday, March 22, 2020",Online,USD,24,77,5,3,219.83,157.02,62.81
SO4492,"Saturday, February 29, 2020",Wholesale,USD,11,319,39,3,475.03,339.31,135.72
SO4493,"Saturday, May 2, 2020",In-Store,USD,11,337,10,3,579.80,414.14,165.66
SO4494,"Friday, March 27, 2020",Distributor,USD,21,231,16,2,629.11,449.36,179.75
SO4495,"Wednesday, March 11, 2020",Distributor,USD,15,40,15,4,486.28,347.34,138.94
SO4496,"Tuesday, April 7, 2020",Distributor,USD,2,99,39,3,617.63,441.17,176.47
SO4497,"Friday, January 31, 2020",Wholesale,USD,1,247,28,2,457.41,326.72,130.69
SO4498,"Monday, February 3, 2020",Distributor,USD,17,278,18,3,205.26,146.61,58.65
SO4499,"Thursday, February 13, 2020",Distributor,USD,13,297,41,4,248.11,177.22,70.89
SO4500,"Wednesday, January 22, 2020",In-Store,USD,5,67,9,2,475.59,339.71,135.88
SO4501,"Sunday, January 19, 2020",Distributor,USD,25,57,30,3,572.50,408.93,163.57
SO4502,"Friday, March 13, 2020",Distributor,USD,3,325,6,1,417.38,298.13,119.25
SO4503,"Saturday, April 18, 2020",Distributor,USD,12,339,16,9,569.84,407.03,162.81
SO4504,"Thursday, March 19, 2020",Wholesale,USD,15,209,2,5,268.36,191.69,76.67
SO4505,"Wednesday, February 5, 2020",In-Store,USD,11,17,25,3,548.49,391.78,156.71
SO4506,"Thursday, April 9, 2020",Online,USD,1,110,13,8,547.75,391.25,156.50
SO4507,"Friday, May 8, 2020",Distributor,USD,1,250,25,2,629.94,449.96,179.98
SO4508,"Wednesday, February 19, 2020",Online,USD,3,207,38,9,362.68,259.05,103.62
SO4509,"Sunday, March 8, 2020",Distributor,USD,12,190,28,6,569.01,406.43,162.57
SO4510,"Tuesday, February 25, 2020",Wholesale,USD,16,291,12,3,202.07,144.34,57.73
SO4511,"Monday, May 25, 2020",Online,USD,19,275,13,5,640.63,457.60,183.04
SO4512,"Wednesday, March 25, 2020",Wholesale,USD,3,359,33,8,528.86,377.76,151.10
SO4513,"Sunday, February 23, 2020",In-Store,USD,10,251,33,9,602.89,430.63,172.25
SO4514,"Friday, January 17, 2020",Wholesale,USD,1,119,36,2,632.38,451.70,180.68
SO4515,"Sunday, March 29, 2020",Wholesale,USD,23,113,28,4,384.12,274.37,109.75
SO4516,"Friday, February 28, 2020",In-Store,USD,10,28,26,8,324.41,231.72,92.69
SO4517,"Tuesday, May 26, 2020",Online,USD,16,114,47,6,255.45,182.46,72.99
SO4518,"Wednesday, January 29, 2020",Distributor,USD,14,334,30,10,173.28,123.77,49.51
SO4519,"Sunday, May 10, 2020",Distributor,USD,2,141,45,10,378.92,270.66,108.26
SO4520,"Wednesday, February 5, 2020",Wholesale,USD,25,217,35,9,604.83,432.02,172.81
SO4521,"Sunday, April 5, 2020",Distributor,USD,13,284,40,2,248.02,177.16,70.86
SO4522,"Sunday, May 10, 2020",Distributor,USD,8,276,3,10,324.36,231.69,92.67
SO4523,"Thursday, January 16, 2020",Wholesale,USD,19,158,42,8,165.52,118.23,47.29
SO4524,"Wednesday, May 27, 2020",Online,USD,13,362,24,1,650.68,464.77,185.91
SO4525,"Saturday, February 8, 2020",Online,USD,16,89,4,1,515.68,368.34,147.34
SO4526,"Friday, April 17, 2020",Distributor,USD,26,234,45,2,434.95,310.68,124.27
SO4527,"Saturday, April 4, 2020",Online,USD,22,53,37,9,224.30,160.21,64.08
SO4528,"Saturday, March 14, 2020",Online,USD,22,356,24,10,429.97,307.12,122.85
SO4529,"Saturday, April 25, 2020",Wholesale,USD,3,56,18,2,434.28,310.20,124.08
SO4530,"Thursday, February 13, 2020",Online,USD,12,212,24,10,530.04,378.60,151.44
SO4531,"Saturday, May 2, 2020",In-Store,USD,2,206,46,10,511.60,365.43,146.17
SO4532,"Tuesday, March 3, 2020",Distributor,USD,16,97,22,3,480.64,343.32,137.33
SO4533,"Wednesday, April 29, 2020",Wholesale,USD,12,330,1,8,174.74,124.81,49.93
SO4534,"Saturday, January 4, 2020",Online,USD,11,256,11,3,253.46,181.04,72.42
SO4535,"Sunday, March 8, 2020",Wholesale,USD,5,133,6,7,624.20,445.85,178.34
SO4536,"Wednesday, January 29, 2020",Online,USD,11,227,15,1,415.50,296.78,118.71
SO4537,"Friday, April 3, 2020",Distributor,USD,14,292,39,1,178.51,127.51,51.00
SO4538,"Friday, February 21, 2020",Online,USD,20,139,46,4,441.40,315.29,126.11
SO4539,"Thursday, February 20, 2020",In-Store,USD,15,175,33,10,589.88,421.34,168.54
SO4540,"Monday, February 10, 2020",Distributor,USD,2,29,19,1,558.20,398.72,159.49
SO4541,"Tuesday, March 3, 2020",Wholesale,USD,16,98,17,8,257.38,183.85,73.54
SO4542,"Friday, January 10, 2020",Distributor,USD,26,236,17,4,312.05,222.89,89.16
SO4543,"Thursday, January 9, 2020",Wholesale,USD,26,324,43,3,280.37,200.26,80.11
SO4544,"Monday, April 13, 2020",Online,USD,24,184,46,9,197.66,141.18,56.47
SO4545,"Saturday, April 11, 2020",In-Store,USD,24,117,17,5,321.49,229.64,91.85
SO4546,"Wednesday, January 8, 2020",Online,USD,16,295,20,3,291.58,208.27,83.31
SO4547,"Thursday, January 16, 2020",In-Store,USD,20,263,32,3,452.46,323.19,129.27
SO4548,"Wednesday, April 29, 2020",Wholesale,USD,24,114,47,10,476.55,340.39,136.16
SO4549,"Thursday, May 14, 2020",In-Store,USD,9,81,24,1,230.56,164.69,65.88
SO4550,"Monday, January 13, 2020",Online,USD,8,128,24,1,456.36,325.97,130.39
SO4551,"Tuesday, January 28, 2020",Wholesale,USD,26,209,3,7,407.40,291.00,116.40
SO4552,"Sunday, February 9, 2020",Distributor,USD,11,194,8,9,391.20,279.43,111.77
SO4553,"Wednesday, March 25, 2020",Distributor,USD,10,175,15,3,271.46,193.90,77.56
SO4554,"Thursday, January 2, 2020",Distributor,USD,23,31,19,7,603.36,430.97,172.39
SO4555,"Friday, May 1, 2020",Wholesale,USD,9,33,36,10,284.53,203.24,81.30
SO4556,"Tuesday, March 3, 2020",Wholesale,USD,13,13,8,9,431.63,308.31,123.32
SO4557,"Saturday, February 22, 2020",In-Store,USD,9,8,15,2,257.94,184.24,73.70
SO4558,"Friday, January 24, 2020",Online,USD,20,193,34,7,445.92,318.51,127.40
SO4559,"Monday, January 13, 2020",Online,USD,15,292,1,4,474.20,338.71,135.48
SO4560,"Friday, April 10, 2020",In-Store,USD,12,27,5,1,334.89,239.21,95.68
SO4561,"Wednesday, March 25, 2020",Distributor,USD,21,246,30,1,258.63,184.74,73.89
SO4562,"Wednesday, May 20, 2020",Wholesale,USD,16,196,26,4,435.64,311.17,124.47
SO4563,"Monday, May 11, 2020",Distributor,USD,22,61,28,8,153.86,109.90,43.96
SO4564,"Monday, February 17, 2020",Wholesale,USD,18,12,22,10,470.65,336.18,134.47
SO4565,"Monday, May 4, 2020",Distributor,USD,7,303,24,2,448.36,320.26,128.10
SO4566,"Friday, April 17, 2020",Wholesale,USD,3,77,16,8,204.64,146.17,58.47
SO4567,"Saturday, January 4, 2020",In-Store,USD,25,352,10,9,458.50,327.50,131.00
SO4568,"Sunday, March 29, 2020",In-Store,USD,14,166,43,5,346.02,247.15,98.86
SO4569,"Saturday, January 11, 2020",Wholesale,USD,4,159,20,5,583.64,416.88,166.75
SO4570,"Monday, January 6, 2020",Online,USD,8,13,2,1,639.98,457.13,182.85
SO4571,"Saturday, January 4, 2020",In-Store,USD,26,289,3,5,261.28,186.63,74.65
SO4572,"Friday, May 8, 2020",Wholesale,USD,18,107,34,10,241.60,172.57,69.03
SO4573,"Monday, April 20, 2020",Online,USD,1,66,8,9,605.40,432.43,172.97
SO4574,"Tuesday, May 26, 2020",Online,USD,22,96,24,9,572.35,408.82,163.53
SO4575,"Wednesday, April 29, 2020",Wholesale,USD,2,354,31,3,596.38,425.99,170.39
SO4576,"Sunday, January 26, 2020",Distributor,USD,17,162,9,4,467.87,334.20,133.68
SO4577,"Saturday, January 25, 2020",In-Store,USD,26,347,20,8,365.08,260.77,104.31
SO4578,"Thursday, April 16, 2020",Wholesale,USD,18,204,7,3,604.07,431.48,172.59
SO4579,"Thursday, April 23, 2020",Wholesale,USD,11,205,40,10,189.21,135.15,54.06
SO4580,"Saturday, January 11, 2020",Distributor,USD,11,183,21,3,245.72,175.51,70.21
SO4581,"Friday, February 28, 2020",In-Store,USD,14,190,15,8,477.83,341.31,136.52
SO4582,"Monday, March 16, 2020",Online,USD,23,322,36,9,549.24,392.32,156.93
SO4583,"Monday, January 27, 2020",Wholesale,USD,20,271,14,6,630.73,450.52,180.21
SO4584,"Saturday, March 21, 2020",Wholesale,USD,17,282,21,2,219.28,156.63,62.65
SO4585,"Friday, January 3, 2020",Distributor,USD,5,193,24,6,295.03,210.74,84.29
SO4586,"Tuesday, May 5, 2020",Distributor,USD,24,234,36,1,506.24,361.60,144.64
SO4587,"Monday, April 27, 2020",Online,USD,23,126,42,2,154.14,110.10,44.04
SO4588,"Saturday, February 8, 2020",Distributor,USD,23,200,14,2,585.02,417.87,167.15
SO4589,"Sunday, March 15, 2020",In-Store,USD,1,244,15,9,511.10,365.07,146.03
SO4590,"Friday, April 17, 2020",In-Store,USD,24,27,21,3,552.41,394.58,157.83
SO4591,"Monday, March 16, 2020",Wholesale,USD,10,264,32,4,562.77,401.98,160.79
SO4592,"Sunday, February 2, 2020",Wholesale,USD,26,225,33,8,348.06,248.62,99.45
SO4593,"Friday, March 13, 2020",In-Store,USD,1,49,10,7,384.48,274.63,109.85
SO4594,"Tuesday, March 3, 2020",In-Store,USD,10,331,37,8,563.98,402.84,161.14
SO4595,"Sunday, April 5, 2020",In-Store,USD,24,287,41,9,255.16,182.26,72.90
SO4596,"Wednesday, February 26, 2020",Online,USD,24,8,34,1,210.77,150.55,60.22
SO4597,"Monday, April 6, 2020",In-Store,USD,19,126,23,1,594.90,424.93,169.97
SO4598,"Sunday, February 16, 2020",Wholesale,USD,1,73,9,3,161.33,115.23,46.09
SO4599,"Wednesday, January 15, 2020",Online,USD,10,134,13,3,401.55,286.82,114.73
SO4600,"Tuesday, April 21, 2020",In-Store,USD,24,39,41,8,576.57,411.84,164.73
SO4601,"Thursday, March 19, 2020",Distributor,USD,3,319,10,6,213.90,152.79,61.11
SO4602,"Sunday, January 5, 2020",In-Store,USD,24,202,35,3,282.39,201.71,80.68
SO4603,"Sunday, January 12, 2020",In-Store,USD,12,284,36,1,223.42,159.58,63.83
SO4604,"Monday, March 30, 2020",Wholesale,USD,14,269,15,3,180.02,128.59,51.44
SO4605,"Friday, May 1, 2020",Wholesale,USD,2,241,22,4,313.60,224.00,89.60
SO4606,"Saturday, May 9, 2020",Wholesale,USD,26,159,23,5,372.38,265.99,106.40
SO4607,"Saturday, May 2, 2020",In-Store,USD,16,236,7,3,414.45,296.04,118.41
SO4608,"Tuesday, January 7, 2020",Distributor,USD,7,307,18,4,353.17,252.26,100.90
SO4609,"Wednesday, April 22, 2020",Online,USD,16,173,37,9,185.70,132.64,53.06
SO4610,"Friday, February 21, 2020",Distributor,USD,13,316,10,4,207.74,148.39,59.35
SO4611,"Friday, April 10, 2020",Online,USD,1,362,13,6,173.64,124.03,49.61
SO4612,"Tuesday, April 28, 2020",Distributor,USD,9,63,18,10,399.08,285.06,114.02
SO4613,"Monday, May 11, 2020",Distributor,USD,16,222,39,2,198.77,141.98,56.79
SO4614,"Tuesday, February 4, 2020",Distributor,USD,2,101,8,1,342.33,244.52,97.81
SO4615,"Sunday, March 15, 2020",Wholesale,USD,26,200,16,5,375.68,268.35,107.34
SO4616,"Saturday, January 11, 2020",Wholesale,USD,18,125,27,10,605.72,432.66,173.06
SO4617,"Tuesday, May 19, 2020",Distributor,USD,22,303,17,9,271.75,194.11,77.64
SO4618,"Friday, March 27, 2020",Distributor,USD,18,252,18,6,173.92,124.23,49.69
SO4619,"Thursday, January 30, 2020",Wholesale,USD,13,129,20,4,353.63,252.60,101.04
SO4620,"Sunday, January 5, 2020",Online,USD,7,17,22,6,375.01,267.87,107.15
SO4621,"Tuesday, January 14, 2020",Distributor,USD,3,213,24,8,476.71,340.50,136.20
SO4622,"Tuesday, January 21, 2020",Online,USD,7,23,42,10,644.83,460.59,184.24
SO4623,"Sunday, March 22, 2020",In-Store,USD,26,209,19,7,317.78,226.99,90.79
SO4624,"Sunday, January 26, 2020",Online,USD,12,226,13,9,485.14,346.53,138.61
SO4625,"Sunday, March 8, 2020",In-Store,USD,19,165,3,10,263.87,188.48,75.39
SO4626,"Sunday, January 5, 2020",In-Store,USD,2,354,23,4,554.96,396.40,158.56
SO4627,"Thursday, February 6, 2020",In-Store,USD,15,207,46,4,392.79,280.57,112.23
SO4628,"Saturday, January 18, 2020",Online,USD,24,280,36,9,468.16,334.40,133.76
SO4629,"Sunday, April 5, 2020",In-Store,USD,7,314,17,7,316.88,226.35,90.54
SO4630,"Thursday, April 2, 2020",Online,USD,24,166,28,6,514.93,367.80,147.12
SO4631,"Wednesday, February 19, 2020",Wholesale,USD,3,87,45,4,281.11,200.79,80.32
SO4632,"Saturday, April 11, 2020",Online,USD,16,223,10,10,621.82,444.16,177.66
SO4633,"Friday, May 8, 2020",Wholesale,USD,11,3,5,1,525.33,375.24,150.10
SO4634,"Wednesday, April 1, 2020",Distributor,USD,23,76,17,1,511.55,365.39,146.16
SO4635,"Wednesday, April 8, 2020",Distributor,USD,2,217,44,8,554.58,396.13,158.45
SO4636,"Sunday, January 5, 2020",Wholesale,USD,2,342,32,4,639.63,456.88,182.75
SO4637,"Sunday, January 5, 2020",Distributor,USD,6,40,30,7,587.49,419.64,167.86
SO4638,"Thursday, March 19, 2020",Distributor,USD,5,343,4,9,604.55,431.82,172.73
SO4639,"Sunday, April 26, 2020",In-Store,USD,6,213,3,8,564.36,403.11,161.25
SO4640,"Friday, February 21, 2020",Wholesale,USD,21,261,28,10,370.19,264.42,105.77
SO4641,"Monday, February 17, 2020",Distributor,USD,16,295,16,7,237.37,169.55,67.82
SO4642,"Saturday, February 8, 2020",Wholesale,USD,11,367,42,9,245.50,175.36,70.14
SO4643,"Thursday, January 2, 2020",Online,USD,18,59,5,2,484.04,345.74,138.30
SO4644,"Sunday, March 8, 2020",Online,USD,6,317,18,9,200.79,143.42,57.37
SO4645,"Monday, April 20, 2020",Online,USD,26,328,20,5,598.93,427.81,171.12
SO4646,"Tuesday, January 7, 2020",Online,USD,16,119,24,5,227.04,162.17,64.87
SO4647,"Thursday, April 30, 2020",Wholesale,USD,10,237,39,1,472.05,337.18,134.87
SO4648,"Monday, May 18, 2020",Wholesale,USD,15,102,29,1,564.19,402.99,161.20
SO4649,"Saturday, January 25, 2020",Distributor,USD,6,103,37,2,154.65,110.47,44.19
SO4650,"Sunday, March 22, 2020",In-Store,USD,12,190,27,4,248.28,177.35,70.94
SO4651,"Saturday, February 1, 2020",In-Store,USD,10,98,25,9,460.29,328.78,131.51
SO4652,"Monday, February 10, 2020",Online,USD,4,28,9,5,568.77,406.26,162.51
SO4653,"Wednesday, March 25, 2020",In-Store,USD,24,62,13,1,358.28,255.91,102.37
SO4654,"Monday, February 3, 2020",In-Store,USD,13,100,39,5,613.60,438.28,175.31
SO4655,"Thursday, May 7, 2020",In-Store,USD,2,2,42,9,569.03,406.45,162.58
SO4656,"Wednesday, March 25, 2020",Distributor,USD,23,44,41,7,260.78,186.27,74.51
SO4657,"Sunday, February 23, 2020",Wholesale,USD,20,192,4,9,350.82,250.59,100.24
SO4658,"Friday, January 10, 2020",Online,USD,26,1,45,6,549.49,392.49,157.00
SO4659,"Monday, May 11, 2020",In-Store,USD,22,246,3,7,645.03,460.74,184.30
SO4660,"Monday, January 13, 2020",Distributor,USD,4,289,5,1,506.97,362.12,144.85
SO4661,"Sunday, February 2, 2020",Distributor,USD,8,283,26,6,318.85,227.75,91.10
SO4662,"Friday, February 28, 2020",In-Store,USD,14,273,15,5,153.84,109.89,43.95
SO4663,"Monday, February 24, 2020",Wholesale,USD,21,85,43,10,425.97,304.27,121.71
SO4664,"Thursday, March 5, 2020",Distributor,USD,18,363,45,1,497.42,355.30,142.12
SO4665,"Thursday, May 28, 2020",Distributor,USD,23,278,1,1,468.97,334.98,133.99
SO4666,"Sunday, January 5, 2020",In-Store,USD,13,104,8,10,466.36,333.11,133.24
SO4667,"Friday, May 15, 2020",Online,USD,26,145,35,7,331.05,236.46,94.59
SO4668,"Wednesday, April 15, 2020",Wholesale,USD,23,155,18,8,383.57,273.98,109.59
SO4669,"Wednesday, May 6, 2020",In-Store,USD,22,344,4,2,628.63,449.02,179.61
SO4670,"Sunday, April 19, 2020",Wholesale,USD,5,201,4,1,157.26,112.33,44.93
SO4671,"Thursday, February 20, 2020",Distributor,USD,16,157,1,6,372.89,266.35,106.54
SO4672,"Monday, January 13, 2020",Wholesale,USD,10,36,40,2,534.61,381.86,152.74
SO4673,"Wednesday, April 29, 2020",In-Store,USD,24,311,2,9,473.12,337.94,135.18
SO4674,"Monday, April 20, 2020",Wholesale,USD,16,95,22,10,357.27,255.19,102.08
SO4675,"Sunday, May 24, 2020",Distributor,USD,16,87,22,10,196.69,140.49,56.20
SO4676,"Tuesday, March 31, 2020",Wholesale,USD,18,38,46,3,418.00,298.57,119.43
SO4677,"Saturday, February 29, 2020",Wholesale,USD,2,290,26,3,378.83,270.59,108.24
SO4678,"Tuesday, April 21, 2020",Wholesale,USD,8,297,27,9,594.76,424.83,169.93
SO4679,"Tuesday, April 21, 2020",In-Store,USD,14,257,20,9,246.61,176.15,70.46
SO4680,"Monday, January 13, 2020",Online,USD,8,225,27,7,611.34,436.67,174.67
SO4681,"Thursday, April 9, 2020",Distributor,USD,7,293,32,3,397.77,284.12,113.65
SO4682,"Sunday, May 31, 2020",In-Store,USD,13,151,28,8,369.25,263.75,105.50
SO4683,"Wednesday, May 27, 2020",Online,USD,18,91,17,7,552.39,394.56,157.83
SO4684,"Monday, March 16, 2020",Distributor,USD,1,59,47,6,430.44,307.46,122.98
SO4685,"Thursday, February 13, 2020",In-Store,USD,24,308,1,4,359.36,256.68,102.67
SO4686,"Thursday, April 23, 2020",In-Store,USD,13,178,3,5,349.11,249.36,99.74
SO4687,"Sunday, January 12, 2020",In-Store,USD,5,249,37,6,643.29,459.49,183.80
SO4688,"Wednesday, March 4, 2020",In-Store,USD,8,55,25,10,191.63,136.88,54.75
SO4689,"Friday, January 17, 2020",In-Store,USD,2,96,8,2,598.38,427.41,170.97
SO4690,"Wednesday, April 29, 2020",Wholesale,USD,9,110,21,6,187.47,133.91,53.56
SO4691,"Thursday, April 9, 2020",Wholesale,USD,25,93,13,7,589.16,420.83,168.33
SO4692,"Friday, May 1, 2020",Distributor,USD,4,229,14,2,593.37,423.83,169.53
SO4693,"Friday, May 1, 2020",In-Store,USD,7,182,22,1,303.32,216.66,86.66
SO4694,"Thursday, March 5, 2020",Distributor,USD,19,316,7,9,471.48,336.77,134.71
SO4695,"Monday, May 11, 2020",In-Store,USD,3,3,38,7,162.92,116.37,46.55
SO4696,"Saturday, January 4, 2020",Distributor,USD,3,103,6,2,219.03,156.45,62.58
SO4697,"Sunday, May 3, 2020",Distributor,USD,13,8,41,4,498.83,356.31,142.52
SO4698,"Wednesday, April 1, 2020",Wholesale,USD,1,23,23,1,287.72,205.51,82.20
SO4699,"Tuesday, May 26, 2020",Online,USD,12,126,17,2,633.10,452.22,180.89
SO4700,"Sunday, January 19, 2020",Distributor,USD,13,269,44,1,179.01,127.86,51.15
SO4701,"Wednesday, April 1, 2020",Distributor,USD,9,203,11,3,640.53,457.52,183.01
SO4702,"Sunday, February 9, 2020",In-Store,USD,22,20,11,7,423.93,302.80,121.12
SO4703,"Thursday, January 23, 2020",In-Store,USD,10,310,34,2,168.82,120.58,48.23
SO4704,"Monday, February 17, 2020",Distributor,USD,24,11,9,9,361.07,257.90,103.16
SO4705,"Friday, January 10, 2020",In-Store,USD,11,186,35,6,344.98,246.42,98.57
SO4706,"Sunday, January 5, 2020",Wholesale,USD,12,335,10,2,182.94,130.67,52.27
SO4707,"Sunday, April 5, 2020",Wholesale,USD,25,135,27,2,391.87,279.91,111.96
SO4708,"Sunday, April 26, 2020",Online,USD,4,154,31,9,314.86,224.90,89.96
SO4709,"Friday, February 7, 2020",Wholesale,USD,6,255,28,8,243.00,173.57,69.43
SO4710,"Saturday, January 11, 2020",Distributor,USD,24,185,6,1,333.91,238.51,95.40
SO4711,"Wednesday, May 27, 2020",Distributor,USD,4,133,37,6,529.13,377.95,151.18
SO4712,"Saturday, April 4, 2020",Wholesale,USD,25,137,23,8,261.82,187.01,74.81
SO4713,"Sunday, February 16, 2020",In-Store,USD,23,105,44,3,453.14,323.67,129.47
SO4714,"Friday, February 7, 2020",Online,USD,2,237,35,2,176.73,126.24,50.49
SO4715,"Tuesday, April 7, 2020",In-Store,USD,14,165,3,10,207.22,148.01,59.20
SO4716,"Saturday, February 8, 2020",In-Store,USD,12,305,20,3,226.18,161.56,64.62
SO4717,"Wednesday, April 15, 2020",Distributor,USD,13,367,8,9,182.46,130.33,52.13
SO4718,"Monday, March 16, 2020",Wholesale,USD,25,177,17,9,242.77,173.41,69.36
SO4719,"Friday, May 15, 2020",Distributor,USD,1,92,33,6,368.34,263.10,105.24
SO4720,"Sunday, April 26, 2020",Online,USD,20,272,14,10,293.36,209.54,83.82
SO4721,"Sunday, April 5, 2020",Distributor,USD,14,209,11,9,458.56,327.54,131.02
SO4722,"Sunday, March 15, 2020",Online,USD,13,49,13,7,611.81,437.01,174.80
SO4723,"Sunday, April 26, 2020",In-Store,USD,1,173,36,6,303.47,216.76,86.70
SO4724,"Friday, May 1, 2020",Wholesale,USD,13,296,41,7,492.50,351.78,140.71
SO4725,"Wednesday, April 29, 2020",Online,USD,14,160,23,6,473.83,338.45,135.38
SO4726,"Wednesday, March 18, 2020",In-Store,USD,7,214,40,3,356.24,254.46,101.78
SO4727,"Monday, March 16, 2020",Distributor,USD,18,80,14,1,321.73,229.80,91.92
SO4728,"Wednesday, March 18, 2020",Distributor,USD,25,189,37,3,303.29,216.64,86.66
SO4729,"Saturday, February 8, 2020",Wholesale,USD,3,260,25,10,567.96,405.68,162.27
